Russian,Kubachin
абрикос,ахъбазан
айва,ччимите
бабушка,абахъалааба
бабушка,аттаба
балкон,таакванна
борода,муцIуй
брат,уцце
брови,нутбе
бурка,ваате
вам,ишший
ваш,ишшила
вверху,хъайиб
виноград,тIитIе
внизу,хьайиб
восемнадцать,вицIнуккая
восемь,ккаа
впереди,талаб
второй,кIвеибил
вы,уша
глаз,уле
голова,бикI
горох,хъаа
груша,хъий
два,кIве
двадцать,гъа
двенадцать,вицIнукIва
двери,уцца
девушка,йуссе
девятнадцать,вицIнугIучIумал
девять,гIучIум
день,бэ
деньги,аас
дерево,ккалкка
дерево,ттуутта
десять,вицI
дом,хъал
дрова,уусул
его,идила
ее,идила
ей,идий
ему,идий
есть,сав
есть,сай
есть,саб
жалость,уукIицIе
железный,мих
жена,хьунул
жених,ваччибтуй
женщина,хьунул
здесь,яниб
зелень,кьай
земля,гIянчча
зуб,сула
изделия,мятяхI
им,иттадий
их,иттала
камень,къаакъа
картошка,картуп
каштаны,чяхIмялуте
кошка,ччиту
крыша,хъалтал
куда,чина
кузен,уццикьай
кузина,йуццикьай
кушанье,буккин
лестница,ццаане
лоб,натта
лошадь,ууче
лук,сееже
любимая,йиккана
любовь,дикка
люди,уй
магазин,тукан
малина,зиза
мальчик,гал
мама,аба
масло сливочное,бяхъяла
масло топленное,неех
мачеха,юххе аба
мне,дам
можно,ажилал саб
мозг,маа
мой,дила
молоко,ниг
море,уухьу
морковь,житI
Муж,адаме
Мужчина,адаме
мука,нукьун
мы,нусса
мясо,диг
налево,хъямилнашал
нам,ниссий
наполнить,бицIий
направо,гIяхилнашал
наш,ниссила
не знаю,ахху
не нужно,бажил асаб
небо,ццаб
невеста,йаччибтуй
невозможно,гъамакква
нельзя,агага
нога,тIюй
нос,къюхъ
обязательно,гьегъубза
один,са
одиннадцать,вицIнуса
окно,уццадигала
он,ид
они,итте
орех,хъихьв
оставить,батий
отец,атта
отсюда,янил
оттуда,иттул
оттуда-отсюда,итту-янил
первый,саибил
персик,кьвайче
покупатель,иссана
покупатель,муштаре
покушать,бееквий
продавец,биисана
продавец,туканче
прямо,читахьвле
пятнадцать,вицIнухьва
пятый,хьуибил
пять,хьу
работа,гIяче
ресницы,кIяпIикIвне
родня,агьлу
родственник,тухум
рот,мууле
рука,няхъ
рядом,шулиб
с радостью,биккубал
свекор,тублатта
свекровь,тублаба
сделать,баакьий
семнадцать,вицIнувеея
семь,вее
сено,маа
сердце,уукIе
серьга,ууцIа
сестра,йуцце
сзади,гьилаб
сметана,буут
смородина,хъаза
согласен,разилда
согласна,разилда
спасибо,баркалла
старуха,йухъна
сто,дяш
суп,неегь
сын,гал
сыр,нисса
там,иттуб
твой,ила
тебе,иттий
тело,чаах
тело,ххамха
тело,ххамха
тело,ххамха
топор,баатта
третий,гIябибил
три,гIяб
тринадцать,вицIнугIяппа
троюродная сестра,няхъла йуццикьай
троюродный брат,няхъла уццикьай
туда,итту
ты,у
тысяча,азий
убить,кахьвий
финики,чамистаке
фрукты,цIидихь
фундук,силмикв
хинкал,ккуц
хлеб,тIулутI
хорошо,гIяхсиб
хочу,бичче
цветы,угге
часы,сахIят
черешня,багIле
четвертый,агъвибил
четыре,агъв
четырнадцать,вицIнуагъва
чуду,хIялуккуц
шерсть,ппала
шестнадцать,вицIнуэкка
шесть,эк
шея,хъяб
щека,экъе
я,ду
яблоко,гьинзе
язык,муццул
яйцо,духъе
