Russian,Kubachin
Язык,Муццул
Язык,Куб
Язык,Гъай
Красивый язык,ГIяляматжуд гъай
Красивый язык,Дукьяжуд гъай
Какими языками ты владеешь?,Чумда гъай дакIуну итти?
"Я владею арабским, русским, кубачинским.","Дам гIярябкуб, гIурускуб, гIугъбуганкуб дакIу."
Какой язык ты изучал в школе?,Сижуд гъай дахиттину итти ушкуллиб?
На каком языке он говорит?,Се кубле гъайукIулну ит ?
"В школе я изучал русский, английский, арабский языки.","Ушкулиб дамми гIурускуб, англиялла куб, гIярабкуб дахид."
На каком языке вы говорите дома?,Се кубле гъайдукIуттану уща хъилид?
Каким языком ты хочешь владеть?,Се куб дахи биккулдину иттий?
Я хочу владеть кубачинским языком.,Дам гIугъбугла гъай дахи биккулда.
Знают ли в вашей семье другие дагестанские языки?,Ищила кулпатлий салте дагъистанна халкьла гъай дакIуйи?
Мой отец и старшие братья знают кумыкский язык.,Дила аттайбал хвалел уцбаддий къумухъла гъай дакIу.
ГОВОРИТЬ,ГЪАЙУКIВИЙ
Вы говорите по-русски (по-кубачински)?,У гIурус (гIугъбуган) кубле гъай укIвути?
"Да, я говорю по-русски (по-кубачински).","Гье, ду гIурус (гIугъбуган кубле гъай укIвуд"
"Нет, я не умею говорить по- русски (по-кубачински).","Уу, ду гIурус (гIугъбуган) кубле гъайукIий ахху (гъайукIвакIвуд)"
Говори медленно.,Багьлал гъайукIве.
О чем он говорит?,Силжил гъайукIулну ил (ей)?
Правильно ли я говорю?,Дудурусле (тахьвле) гъайкукIулдай?
ПОНИМАТЬ,ИГЪИЙ
Ты (вы) понимаешь (понимаете) ,Дила гъай игъулдий итти ?
,
Мы (я) поняли.,Нисси (дамми) эгъада (эгъад).
Мы (я) не понял(и) Вас (тебя).,Нисси (дамми) эгъегъада (эгъегъад)
ОБРАЩЕНИЕ,ОБРАЩЕНИЕ
Товарищ.,"Уртахъ, къучагъ, юлдаш."
Товарищи.,"Уртакъе,къучагъте, юлдаще."
Мой дорогой/дорогая.,"Дила ихIяр, ихIярзив."
Дорогой папа.,ИхIяр атта.
Милая мама.,ИхIяр аба.
Братья.,Уцбе.
Сестры.,Йуцбе.
Мама.,Аба.
Папа.,Атта.
Девочка. Девушка.,Йуссе.
Мальчик. Сын.,Гал.
Дети.,"Гуле, бикIате."
Дядя.,"Абауцце, аттауцце."
Тетя (по отцу).,Аттайуцце.
Тетя (по матери).,Абайуцце.
Бабушка (по отцу).,Аттааба.
Бабушка (по матери).,"Абаба, абахъаллаба."
Дедушка (по отцу).,Аттаатта.
Дедушка (по матери).,"Абаатта, абахъаллатта."
Вы не скажете…?,Гьаилакквиттий...?
Если можно…?,Ажилалбухале…?
Можно тебя спросить…?,Ицце хьайбагъи ажилалий…?
Можно вас спросить…?,Уща хьайдагъи ажилалий…?
ПРИВЕТСТВИЕ,САЛАМКУБ
ПРИВЕТСТВИЕ,САЛАМТЕ
Здравствуй. Доброе утро (к муж.),"Валгьиттий, усситтий."
Здравствуй. Доброе утро (к жен.),"Йалгьиттий, йусситтий."
Здравствуйте (мн.ч.).,Далгьиттай дусситтай.
Салам. С приездом.,Салам. Чарухъиттий.
Очень рад вам.,Ищи ду гьакал разилда.
Как дела?,"Се тяхIярну, се кьядану?"
Как твои дела?,У силвикьулдину?
"Спасибо, хорошо.","Баркалла, гIяхлида."
"Спасибо, неплохо.","Баркалла, хъямле ада."
Как здоровье?,Арадихьла се тяхIярну?
Как жизнь?,Гьунар-бажар?
Как семья?,Ила кулпат у?
Как чувствуешь себя?,Се кьядану?
Как чувствуют себя ваши (родные) родители?,(Багьанталла се кьядану?) Атта аба силбикьулну?
"Спасибо, мы живем хорошо.","Баркалла, нусса хъямле ада."
Какие у вас новости?,Се хабарте лидну? Се хабартину?
Какие новости у вас на работе?,ГIячилжид се хабартину?
"Спасибо, у нас нет особых новостей.","Баркалла, сечIу дикIезиб хабар либакква."
Давно мы не встречались.,Нусса дахъе къаршедухахада.
Как твоя семья?,Ила кулпатла се тяхIярну?
Все в порядке.,"Хъямле ада, гIяхлида."
Как здоровье у твоего отца?,Ила аттала арадихь?
...твоей матери?,Ила абала…?
...твоего тестя?,Ила хьунулла аттала…?
...твоей тещи? Имя твоей жены Имя дочки,Ила хьхьунулла абала…? Ила хьхьунулла зу (дибала) Йуссила зу (дибала)
"Спасибо, у отца хорошее здоровье.","Баркалла, аттала арадихь хъямле асаб."
Передай привет семье.,Кулпатли саламте дишдукъа.
Обязательно передам. И вы передайте.,Дукъила. Удилъйа дишдукъа.
Как дела у вашего (вашей) сына (дочери)?,Галла (йуссилла) се тяхIярну?
"Спасибо, все хорошо.","Щукур аллагьлицце, хъямле асаб"
НА УЛИЦЕ,КЪАТТАБ
НА УЛИЦЕ,ХЬХЬУНИЖИБ
Улица.,"Къаттала, хьхьуне"
На улице.,"Къаттаб, хьхьунижиб."
На улицу.,"Къатта, хьхьуниже."
"На какой улице ваш дом (школа, университет)?","Чина къаттабну ишшила хъал (ушккулла, университет)?"
"Наш дом (школа, университет) находится на улице Шамиля.","Ниссила хъал (ушккулла, университет)."
,Шамилла къаттабсаб.
На этой улице много высоких домов.,"Их (ит, икI) къаттаб ххял ахъщуд хъулбе хид ( тид, чIид)."
Где вы берете воду?,Шин чинал саттикъиттану ущадил?
Мы каждое утро ходим к роднику за водой.,Гьар ччавала къуллан хьун дахьуда.
Воду берем с речки. Какое название у речки.,АкIвлижил шин гьаттикъида. АкIвла се дибалану?
Какое название у родника?,Кьулалла се дибалану?
Улица широкая (узкая).,"Къаттала укьатзиб, бугьитзиб"
С одной стороны улица упирается в парк.,Саннищал къаттала парклитаб кабуххулсаб.
Рядом с заводом (институтом) кинотеатр и кукольный театр.,"Заводла (институтла) щулиб кинотеатирбал, начубалла театир тиб."
Чьим именем названа эта улица?,Чила дибалаллану (зулану) ей къаттала?
Эта улица названа именем ПетраI.,Ей къаттала Петр I-ла дибалалла (зулла) саб.
Еще какие улицы есть в Махачкале?,Салте сижуд къаттубе лидну Анжилид?
"В нашем городе есть еще улицы имени Батырая, Имама Шамиля, Расула Гамзатова, Ахмедхан Абу- Бакарла и т.д.","Ниссила шагьарлиццид Батирайла, Имам Шамильла, Расул Гамзатовла, ГIяхIмядхан Абубакарра ва салталла зуме (дибалуме) чиджуд къаттубе лид."
По этой улице ходят только автобусы?,Ей къаттад автобусте акквал дахьахьай?
Где можно поймать такси?,Чинаб агайну такси бусий?
Такси можно поймать на том/этом месте.,Такси бусий агай ит/ей/их/ик! муссаннаб.
ЗНАКОМСТВО,ЧИЙУЛХIНЕ
Знакомство.,ЧийулхIне.
Знакомый.,ВакIузив.
Знакомить,"Чивути, чийути, чибути."
Познакомиться,гIулхIи.
Узнать, гIулхIи.
Узнать,ЧийулхIи
Познакомиться,ЧийулхIи
Давай (те) познакомимся.,гьаре чийдулхIе сали-са?
Меня зовут Али.,Дамми ГIяле букIвай.
Как тебя/ Вас зовут?,Итти ча букIайну?
"Напишите, пожалуйста, ваше имя/ фамилию.","Кабга, гьаре, ила зу ( кьам)."
