Russian,Kubachin
Абрикос,квaкква
Абсурд,мягIнаакква
Авторитет,хIурматла
Агент,вакил
Айва,ччимите
Активный,сейхузив
Амулет,кIа
Амулет,гьекал
Арба,ука
Аргумент,далил
Аромат,кквягI
Атлас,атIлас
Бабушка,аттаба
Бабушка,абаба
Баня,хIямям
Барабан,ттам
Баран,ква
Бархат,кьвалт
Беда,бала
Беседа,ихтират
Бок,щале
Бусы,баче
Бег,дуцI
Бегать,дуцIулхъий
Бегать,умдий
Бегом,дуцIле
Бегом,дуцIле
Бегом,дуцIле
Бесплатно,кIунал
Блестеть,рябцIбукIий
Близко,акле
Бедность,мискиндихь
Бездельник,азгъин
Безопасный,эйххеакквазиб
Безработица,гIячеакквадихь
Безразличный,агвараакквар
Белизна,цIубдихь
Береза,махъв
Беседа,ихтират
Беспорядок,хIямпIарас
Бинокль,дурнабе
Битва,дява
Битва,дигъ
Блестеть,рябцIбукIий
Близкий,акзив
Близко,акле
Близнецы,хIясан-хIусанте
Блинчики,чегьатIиб тIултIе
Богатство,давла
Богатство,масс
Богатство,хазина
Богатый,давлачибзив
Богатый,абданзив
Богатырь,багьадур
Богатырь,нарт
Богатырь,батир
Бок,шале
Болезнь,иццала
Болеть,ицций
Болото,шилкан
Болото,шилкан
Большой,хвалазиб
Большой,хвалел
Больной,иццузив
Борода,муцIуй
Бочка,чирма
Бояться,ухкквий
Браслет,кулаха
Бревно,цциххин
Бросать,лакIбидикьий
Бросать,ихьвий
Брынза,нисса
Брюки,вачаг
Брюхо,кIултIа
Буква,хIярп
Буря,бгIурум
Бутылка,шуша
Бык,ус
Бык,бугъа
Бык,ус
Бык,бугъа
Быстрый,гьалакзиб
В следующем году,гьибадус
В этом году,ейдус
Важно,бажил
Варенье,мураппа
Варить,билщий
Варить,лущий
Вата,бамба
Вверх,хъайе
Вверх,лак
Вверх,чива
Веревка,дилхан
Веселый,ццихъзив
Вещь,сикIабха
Вблизи,акле
Вблизи,щулиб
Вверх,чиб
Вверх,чилиб
Вдали,гьихъле
Весной,абла
Вечером,дярххя
Вечером,сяхIярра
Вдаль,гьихъле
Вдвое,кIвегьатте
Вдвое,кIвийка
Вдова,ккама хьунул
Вдруг,хабаракквалл
Ведьма,бяжук
Век,дяшдус
Веник,мус
Вера,дин
Верность,мардихь
Вернуть,чарбaкьий
Вернуться,чарсавхий
Верхом,муттал
Весело,ццихъле
Весна,аб
Весы,умсан
Ветка,кьяле
Ветер,хьхьур
Ветер,щгIур
Вечер,дярххя
Вечер,сяхIярра
Вещь,сикIабха
Взгляд,гьар
Вздох,сигь
Взнос,пай
Взять,гьабалчий
Вид,куц
Вид,даража
Видеть,бихккви
Видеть,тебидилжий
Вилка,чIала
Вина,такьсир
Вина,гIяяб
Вина,багьна
Виноград,тIитIе
Вкус,тIим
Вкусный,биццизиб
Власть,хIукмят
Вначале,талабилтал
Вначале,багьтал
Вначале,чикьтал
Вначале,ссибтаал
Вниз,губа
Вниз,кат
Вниз,гуле
Внутри,букквиб
Внучка,галла (йуссила) йусе
Вода,шин
Волк,бицI
Волос,гъис
Вольно,азатле
Вообще,бикIле
Вор,хъилигве
Воробей,хъалчIе
Ворона,къгIина
Ворота,къапу
