Russian,Kubachin
Товарищи,Уртакъе
Товарищи,къучагъте
Товарищи,юлдаще.
Девочка,Девушка.
Мальчик,Сын.
Здравствуй,Доброе утро (к муж.)
Здравствуй,Доброе утро (к жен.)
Салам,С приездом.
Салам,Чарухъиттий.
Обязательно передам,И вы
Дукъила,Удилъйа дишдукъа.
Эта улица названа именем ПетраI,Ей къаттала Петр I-ла
Имя,Название.
Зу,Дибала.
...аттааттада,абахъаллааттада.
…,ВакIузивда (вакIузивсав).
– очень вкусное блюдо,Я очень
кӯц гьакал биццизиб бийхвай,Ду
Кизил мы собираем в нашем лесу,Нуссадил ччунабе ниссила
ТиладеукIи,Тиладебийкьи.
Тиладе саб,Тиладебийкьулда.
Прошу тебя/ Вас выслушать меня,Дамми ляйгувачIе
Прошу тебя/ Вас выслушать меня,тиладе саб.
ребенка (м.р.)/(ж,р.)?
"Простите, я вам этого не позволю",ГIяяб бийкьмекьит
"Простите, я вам этого не позволю",амма дудил у
Да,Нет.
Гьу,Уу.
Не получится,Не сделаю.
Ажилал асаб,Ба
Моя мать работает учительницей,Дила аба учительниццали
Мне надо пойти в магазин,Дам туканне укьий бажил саб.
Я хочу купить сыр и сахар,Дам чакайа ниссайа ассий
Дайте мне хлеб,Гьакка дамми тIулутI.
АДРЕС,ДОМ                                      ГIЯДРИС ХЪАЛ
Я приехал из Махачкалы,Ду Анжилил сатталла сагъад.
Да я живу здесь,Гьу ду янив хIирвийхулда.
Дайте мне свой адрес,Ила гIядрис гьакка дамми.
Запишите мой адрес,Кабга дила гIядрис.
Я живу на улице Шамова,Ду Шамхъалла къаттав
Я живу на третьем этаже,Ду гIябъибил дяхлиживда.
Приходите к нам в гости,Сякьина ниссищу  шатте.
Ты почисти картошку,Удил картуппе чийдуцIа.
Я замешу тесто,Дудил лгIудун бяшила.
Налей в миску воды,Вахъле шин катIа.
Расставь посуду на столе,УстIуллиже милкьа-вахъ
Приготовь чеснок,Сейже хIядурба
Садитесь есть,Каттига дуки.
Хинкал был очень вкусный,Гьакал биццизиб ккуц де
Суббота,Суббут.
Кубачи (фото Н.М,Магомедовой)
Дар – 1,пишкиш
Дар – 1,савгъат
Короткий,КутIзиб.
Коса – 1,кьаче
Коса – 1,2 КъгIулкъгIу.
Лён – 1,урбиш (раст.)
Лён – 1,
Образец – 1,тяхIяр 2 исла.
Язык – 1,муццул
Язык – 1,2 куб.
Шашка,Насечка золотом по металлу
Сервиз коньячный,Серебро
Сервиз коньячный,гравировка
Сервиз коньячный,чеканка
Сервиз коньячный,чернь
Сервиз коньячный,
позолота,Мастер Гаджи-Муса Каммагаджиев
Кубачи (фото Н.М,Магомедовой)
Гаджиибрагимовича,Огромное спасибо доктору филологических
наук Муртазали Хулатаевичу Рабаданову,Также благодарю
историю,Благодарю дядю
историю,внука и племянника в одном лице –
и традициям села,В лице бабушек и дедушек моих детей хочу
знание детям и внукам,Благодарю каждого жителя Кубачи
Н.Р,Сумбатова
д,филол н.
д,профессор
д,
нахско-дагестанской языковой семьи,Эта фраза наверняка
"источников, много сильно различающихся диалектов",Однако
"даргинском языке, а о различных даргинских языках",Например
"даргинском языке, а о различных даргинских языках",
классик дагестанского языкознания А.А,Магометов назвал
и тексты)»,В последние 10-20 лет большинство лингвистов-
которая приведена в самом первом предложении),Для этого
другими даргинскими языками (или диалектами),Сразу скажу
другими даргинскими языками (или диалектами),
Диалекты – это варианты одного языка,Обычно предполагается
Диалекты – это варианты одного языка,
"это не всегда так, однако таковы наши обычные ожидания)",В то
быть очень похожи между собой,Например
быть очень похожи между собой,русский
быть очень похожи между собой,украинский
другими,Итак
другими,если мы сравниваем два похожих языка/диалекта
другими,
"могут понимать друг друга, а для разных языков это не так",Этот
трудно применить на практике,Любое понимание является
опыта межязыкового общения и от много другого,Мы не можем
"(см, однако, Malyshev et aI",2019;  Dobrushina
"(см, однако, Malyshev et aI",Daniel
"(см, однако, Malyshev et aI",Koryakov
2020; Добрушина 2021),Кроме того
2020; Добрушина 2021),к критерию взаимной
встречается очень часто),Иногда понимание в одну сторону легче
встречается очень часто),
"носителям южных, чем наоборот)",Что касается кубачинского
языку-предку,Более объективный критерий различения языков
предка на языки или диалекты-потомки,Этот критерий базируется
50-х годов ХХ века,Попробуем кратко объяснить идеи
50-х годов ХХ века,лежащие
В любом языке есть исконные и заимствованные слова,При этом
"новых реалий), а другие склонны к этому гораздо меньше",Слова
"‘холодный’, ‘новый’, ‘хороший’) и др",Существуют стандартные
Лингвисты умеют оценивать скорость подобных замен,Поэтому
или диалекта-потомка,Чем больше в списках базовой лексики
родство,Так
родство,если из 100 слов базового списка общими являются
самостоятельному существованию,Если же общих слов больше
самостоятельному существованию,
чем разделились языки славянской группы),Границы между
2    Ю,Б Коряков называет наречиями группы языковых вариантов
2    Ю,объеди­
Классификация Ю.Б,Корякова – результат исследования
Классификация Ю.Б,
основанного на объективных данных,Возьмем
основанного на объективных данных,например
основанного на объективных данных,
66 слов,Это говорит о том
66 слов,что это безусловно разные языки
66 слов,
причем родство между ними не такое уж тесное,С другой
дополнительных символов,В данном случае для удобства читателей
и т,д.) В данном случае перед нами два диалекта одного языка.
литературному языку,Некоторые хорошо известные крупные
который входит в южную группу даргинских языков,Судя по
"языков не дальше, чем они друг от друга",Однако
"языков не дальше, чем они друг от друга",как мы
всех) прочих даргинских наречий,Часто можно услышать
всех) прочих даргинских наречий,что
можно найти в статье Добрушина 2021),Видимо
можно найти в статье Добрушина 2021),такое мнение
согласным й,Из-за этого многие кубачинские слова кажутся
"их языках и есть слова, восходящие к тому же источнику",Так
"их языках и есть слова, восходящие к тому же источнику",
самых частотных форм,Например
самых частотных форм,кубачинский – единственный
"р, а й: ид йиикьул-сай ‘Она работает’",Отличия от большинства
даргинских языков заметны в системе глагола,Самая частотная
-тта (2мн),Этимологически эта форма
-тта (2мн),видимо
-тта (2мн),соответствует
характерного для даргинской группы в целом,Если опираться на
"считаться и научное сообщество, и все общество",В мире немало
в школе,В 2017 году был издан большой кубачинско-русский
общественное интернет-телевидение - YouTube),Надеюсь
общественное интернет-телевидение - YouTube),
Кубачи (фото Н.М,Магомедовой)
1.	 Добрушина Н,Р 2021 Пассивный билингвизм в даргинских
селениях,В кн.: Дурхъаси хазна Сборник статей к 60-летию
Р. О. Муталова,Ред Т А Майсак
Р. О. Муталова,Н Р Сумбатова
Р. О. Муталова,Я Г
Тестелец,М.: Буки Веди С 73-93.
2.	 Коряков Ю. Б,2017 Проблема «язык или диалект» и попытка
лексикостатистического подхода,Вопросы языкознания
лексикостатистического подхода,№ 6
лексикостатистического подхода,
3.	 Коряков Ю. Б,2021 Даргинские языки и их классификация
В кн.: Дурхъаси хазна,Сборник статей к 60-летию
Р. О. Муталова,Ред Т А Майсак
Р. О. Муталова,Н Р Сумбатова
Р. О. Муталова,Я Г
Тестелец,М.: Буки Веди
Тестелец,2021 C 139-154.
4.	 Магомедов А,Дж 1984 Названия женских украшений
4.	 Магомедов А,
В кн.: Отраслевая лексика дагестанских языков,С 124–134
5.	 Магомедов А,Дж.
5.	 Магомедов А,Саидов-Аккутта Н. И 2017 Кубачинско-
русский словарь,Дагестанский научный центр РАН
русский словарь,Институт
"языка, литературы и искусства им",Г Цадасы М.: Наука.
6.	 Магометов А,А 1963 Кубачинский язык (исследование и
тексты),Тбилиси: Издательство Академии наук Грузинской
языкознания,Вып 2 Тбилиси С 233–245.
8.	 Старостин С. А,2007 О доказательстве языкового родства
В кн.: Старостин С. А,Труды по языкознанию М.: Языки
"9.	 Dobrushina, N., DanieI, M., & Koryakov, Y",2020 AtIas of
"Yurkova A., CIifton J",M & Tiessen C 2019 The SocioIinguistic
Situation of the Dargwa in Dagestan,SII EIectronic Survey Report
2019-011,DaIIas: SII InternationaI
2019-011,2019
11.	Starostin G,2010 PreIiminary Iexicostatistics as a basis for
Ianguage cIassification: A new approach,JournaI of Ianguage
ReIationship,No 3
ReIationship,79–116.
12.	Swadesh M,1955 Towards greater accuracy in Iexicostatistic
dating,InternationaI JournaI of American Iinguistics VoI 21 No
Ж,К Ибрагимова
Ж,С А Ниналалов
над уровнем моря в Сирагинских горах Дагестана,Остатки
металлообработка,Кольчуги мастеров из Угбаже (так называют
кубачинцев,По одной из версий генуэзцы имели в горах
изобретательный человек,Окончательный вывод современных
народ,Но на вопрос
народ,откуда в глубине дагестанских гор появился
"«Кубачинцы вежливы, спокойны, трудолюбивы",Женщины
умны и начитанны,А мужчины – известные мастера
умны и начитанны,которые
"выделывают оружие, пистолеты, сабли, кожи, панцири",Золотая
Антрополог П.Ф,Свидерский был поражен тем
Антрополог П.Ф,что
древность или ценность той или иной вещи,На некоторых плитах
"львицы, гиены, змеи, скачущего всадника",«Каким удивительным
"стремительный бег другого, силу и мощь третьего",По мастерской
"стремительный бег другого, силу и мощь третьего",
- восклицает П.Ф,Свидерский
кубачинцев – ремесло,Земледелие и скотоводство носили
подсобный характер,Развитыми отраслями ремесла являлись
"газыри), деталей конского снаряжения",Изделия эти находили
славились золотой вышивкой,Любая работа кубачинцев в своем
творчества,«У нас даже кушанья бывают с гравировкой»
творчества,- говорят
кубачинки,Как отметил Е.М Шиллинг
кубачинки,вся атмосфера жизни
и мудрость веков,Специалисты еще долгие годы будут биться
незыблемыми заветами отцов и дедов,Профессия мастера была
ученику,И в современном постиндустриальном обществе XXI
"ты, конечно же, сюда когда-нибудь вернешься",Во всяком случае
"ты, конечно же, сюда когда-нибудь вернешься",
медных котлов и в орнаментах каменных надгробий,Самое
касается событий VI века нашей эры,В нем говорится о том
касается событий VI века нашей эры,что
"«Зирихгеран», и оно платит дань городам Дербенту и Баку»",К
"арабов (VIII в.), нападение сельджуков (XI в.)",Основным занятием
