Russian,Kubachin
1,са
2,кIве
3,гIяб
4,агъв
5,хьву
6,эк
7,ве
8,кка
9,гIучIюм
10,вицI
11,вицIну са
12,вицIну кIва
13,вицIну гIяббя
14,вицIну агъва
15,вицIну хьва
16,вицIну экка
17,вицIну вейа
I8,вицIну ккайа
19,вицIну гIучIюмал
20,гъа
21,гъану са
22,гъану кIва
23,гъану гIяббя
24,гъану агъва
25,гъану хьва
26,гъану экка
27,гъану вейа
28,гъану ккайа
29,гъану гIучIюмал
30,гIябцIал
31,гIябцIану са
32,гIябцIану кIва
33,гIябцIану гIяппя
34,гIябцIану агъва
35,гIябцIану хьва
36,гIябцIану эйкка
37,гIябцIану вейа
38,гIябцIану ккайа
39,гIябцIану гIучIюмал
40,агъвцIал
41,агъвцIану са
42,агъвцIану кIва
43,агъвцIану гIяппя
44,агъвцIану агъва
45,агъвцIану хьва
46,агъвцIану экка
47,агъвцIану вейа
48,агъвцIану ккайа
49,агъвцIану гIучIюмал
50,хьуцIал
51,хьуцIану са
52,хьуцIану кIва
53,хьуцIану гIяббя
54,хьуцIану агъва
55,хьуцIану хьва
56,хьуцIану эйкка
57,хьуцIану вейа
58,хьуцIану ккайа
59,хьуцIану гIучIюмал
60,экцIал
61,экцIану са
62,экцIану кIва
63,экцIану гIяббя
64,экцIану агъва
65,экцIану хьва
66,экцIану экка
67,экцIану вейа
68,экцIану ккайа
69,эйкцIану гIучIюмал
70,вецIал
71,вецIану са
72,вецIану кIва
73,вецIану гIяббя
74,вецIану агъва
75,вецIану хьва
76,вейцIану эйкка
77,вецIану вейа
78,вецIану ккайа
79,вецIану гIучIюмал
80,ккацIал
81,ккацIану са
82,ккацIану кIва
83,ккацIану гIяббя
84,ккацIану агъва
85,ккацIану хьва
86,ккацIану экка
87,ккацIану вейа
88,ккацIану ккайа
89,ккацIану гIучIюмал
90,гIучIюмцал
91,гIучIюмцIану са
92,мцIану кIва
93,мцIану гIяббя
94,мцIану агъва
95,мцIану хьва
96,мцIану экка
97,мцIану вейа
98,мцIану ккайа
99,мцIану гIучIюмал
100,дгIяш
101,дгIяшли са
102,дгIяршли кIве
200,кIведгIяш
201,кIведгIяшли са
202,кIведгIяшли кIве
300,гIябдгIяш
400,агъвдгIяш
500,хьвудгIяш
600,экдгIяш
700,ведгIяш
800,ккадгIяш
900,гIучIюмдяш
1000,азий
2000,кIве азий
3000,гIяб азий
4000,агъв азий
один,са
два,кIве
три,гIяб
четыре,агъв
пять,хьву
шесть,эк
семь,ве
восемь,кка
девять,гIучIюм
десять,вицI
одиннадцать,вицIну са
двенадцать,вицIну кIва
тринадцать,вицIну гIяббя
четырнадцать,вицIну агъва
пятнадцать,вицIну хьва
шестнадцать,вицIну экка
семнадцать,вицIну вейа
восемнадцать,вицIну ккайа
девятнадцать,вицIну гIучIюмал
двадцать,гъа
двадцать один,гъану са
двадцать два,гъану кIва
двадцать три,гъану гIяббя
двадцать четыре,гъану агъва
двадцать пять,гъану хьва
двадцать шесть,гъану экка
двадцать семь,гъану вейа
двадцать восемь,гъану ккайа
двадцать девять,гъану гIучIюмал
тридцать,гIябцIал
тридцать один,гIябцIану са
тридцать два,гIябцIану кIва
тридцать три,гIябцIану гIяппя
тридцать четыре,гIябцIану агъва
тридцать пять,гIябцIану хьва
тридцать шесть,гIябцIану эйкка
тридцать семь,гIябцIану вейа
тридцать восемь,гIябцIану ккайа
тридцать девять,гIябцIану гIучIюмал
сорок,агъвцIал
сорок один,агъвцIану са
сорок два,агъвцIану кIва
сорок три,агъвцIану гIяппя
сорок четыре,агъвцIану агъва
сорок пять,агъвцIану хьва
сорок шесть,агъвцIану экка
сорок семь,агъвцIану вейа
сорок восемь,агъвцIану ккайа
сорок девять,агъвцIану гIучIюмал
пятьдесят,хьуцIал
пятьдесят один,хьуцIану са
пятьдесят два,хьуцIану кIва
пятьдесят три,хьуцIану гIяббя
пятьдесят четыре,хьуцIану агъва
пятьдесят пять,хьуцIану хьва
пятьдесят шесть,хьуцIану эйкка
пятьдесят семь,хьуцIану вейа
пятьдесят восемь,хьуцIану ккайа
пятьдесят девять,хьуцIану гIучIюмал
шестьдесят,экцIал
шестьдесят один,экцIану са
шестьдесят два,экцIану кIва
шестьдесят три,экцIану гIяббя
шестьдесят четыре,экцIану агъва
шестьдесят пять,экцIану хьва
шестьдесят шесть,экцIану экка
шестьдесят семь,экцIану вейа
шестьдесят восемь,экцIану ккайа
шестьдесят девять,эйкцIану гIучIюмал
семьдесят,вецIал
семьдесят один,вецIану са
семьдесят два,вецIану кIва
семьдесят три,вецIану гIяббя
семьдесят четыре,вецIану агъва
семьдесят пять,вецIану хьва
семьдесят шесть,вейцIану эйкка
семьдесят семь,вецIану вейа
семьдесят восемь,вецIану ккайа
семьдесят девять,вецIану гIучIюмал
восемьдесят,ккацIал
восемьдесят один,ккацIану са
восемьдесят два,ккацIану кIва
восемьдесят три,ккацIану гIяббя
восемьдесят четыре,ккацIану агъва
восемьдесят пять,ккацIану хьва
восемьдесят шесть,ккацIану экка
восемьдесят семь,ккацIану вейа
восемьдесят восемь,ккацIану ккайа
восемьдесят девять,ккацIану гIучIюмал
девяносто,гIучIюмцал
девяносто один,гIучIюмцIану са
девяносто два,мцIану кIва
девяносто три,мцIану гIяббя
девяносто четыре,мцIану агъва
девяносто пять,мцIану хьва
девяносто шесть,мцIану экка
девяносто семь,мцIану вейа
девяносто восемь,мцIану ккайа
девяносто девять,мцIану гIучIюмал
сто,дгIяш
сто один,дгIяшли са
сто два,дгIяршли кIве
двести,кIведгIяш
двести один,кIведгIяшли са
двести два,кIведгIяшли кIве
триста,гIябдгIяш
четыреста,агъвдгIяш
пятьсот,хьвудгIяш
шестьсот,экдгIяш
семьсот,ведгIяш
восемьсот,ккадгIяш
девятьсот,гIучIюмдяш
тысяча,азий
две тысячи,кIве азий
три тысячи,гIяб азий
четыре тысячи,агъв азий
