Russian,Kubachin
абрикос,ахъбазан
айва,ччимите
бабушка,абахъалааба
бабушка,аттаба
балкон,таакванна
борода,муц1уй
брат,уцце
брови,нутбе
бурка,ваате
вам,ишший
ваш,ишшила
вверху,хъайиб
виноград,т1ит1е
внизу,хьайиб
восемнадцать,виц1нуккая
восемь,ккаа
впереди,талаб
второй,к1веибил
вы,уша
глаз,уле
голова,бик1
горох,хъаа
груша,хъий
два,к1ве
двадцать,гъа
двенадцать,виц1нук1ва
двери,уцца
девушка,йуссе
девятнадцать,виц1нуг1уч1умал
девять,г1уч1ум
день,бэ
деньги,аас
дерево,ккалкка
дерево,ттуутта
десять,виц1
дом,хъал
дрова,уусул
его,идила
ее,идила
ей,идий
ему,идий
есть,сав
есть,сай
есть,саб
жалость,уук1иц1е
железный,мих
жена,хьунул
жених,ваччибтуй
женщина,хьунул
здесь,яниб
зелень,кьай
земля,г1янчча
зуб,сула
изделия,мятях1
им,иттадий
их,иттала
камень,къаакъа
картошка,картуп
каштаны,чях1мялуте
кошка,ччиту
крыша,хъалтал
куда,чина
кузен,уццикьай
кузина,йуццикьай
кушанье,буккин
лестница,ццаане
лоб,натта
лошадь,ууче
лук,сееже
любимая,йиккана
любовь,дикка
люди,уй
магазин,тукан
малина,зиза
мальчик,гал
мама,аба
масло сливочное,бяхъяла
масло топленное,неех
мачеха,юххе аба
мне,дам
можно,ажилал саб
мозг,маа
мой,дила
молоко,ниг
море,уухьу
морковь,жит1
Муж,адаме
Мужчина,адаме
мука,нукьун
мы,нусса
мясо,диг
налево,хъямилнашал
нам,ниссий
наполнить,биц1ий
направо,г1яхилнашал
наш,ниссила
не знаю,ахху
не нужно,бажил асаб
небо,ццаб
невеста,йаччибтуй
невозможно,гъамакква
нельзя,агага
нога,т1юй
нос,къюхъ
обязательно,гьегъубза
один,са
одиннадцать,виц1нуса
окно,уццадигала
он,ид
они,итте
орех,хъихьв
оставить,батий
отец,атта
отсюда,янил
оттуда,иттул
оттуда-отсюда,итту-янил
первый,саибил
персик,кьвайче
покупатель,иссана
покупатель,муштаре
покушать,бееквий
продавец,биисана
продавец,туканче
прямо,читахьвле
пятнадцать,виц1нухьва
пятый,хьуибил
пять,хьу
работа,г1яче
ресницы,к1яп1ик1вне
родня,агьлу
родственник,тухум
рот,мууле
рука,няхъ
рядом,шулиб
с радостью,биккубал
свекор,тублатта
свекровь,тублаба
сделать,баакьий
семнадцать,виц1нувеея
семь,вее
сено,маа
сердце,уук1е
серьга,ууц1а
сестра,йуцце
сзади,гьилаб
сметана,буут
смородина,хъаза
согласен,разилда
согласна,разилда
спасибо,баркалла
старуха,йухъна
сто,дяш
суп,неегь
сын,гал
сыр,нисса
там,иттуб
твой,ила
тебе,иттий
тело,чаах
тело,ххамха
тело,ххамха
тело,ххамха
топор,баатта
третий,г1ябибил
три,г1яб
тринадцать,виц1нуг1яппа
троюродная сестра,няхъла йуццикьай
троюродный брат,няхъла уццикьай
туда,итту
ты,у
тысяча,азий
убить,кахьвий
финики,чамистаке
фрукты,ц1идихь
фундук,силмикв
хинкал,ккуц
хлеб,т1улут1
хорошо,г1яхсиб
хочу,бичче
цветы,угге
часы,сах1ят
черешня,баг1ле
четвертый,агъвибил
четыре,агъв
четырнадцать,виц1нуагъва
чуду,х1ялуккуц
шерсть,ппала
шестнадцать,виц1нуэкка
шесть,эк
шея,хъяб
щека,экъе
я,ду
яблоко,гьинзе
язык,муццул
яйцо,духъе
